Dataset,File,date,processing_timestamp,Units,HCHO_Mean (molecules/cm²),HCHO_Min (molecules/cm²),HCHO_Max (molecules/cm²),HCHO_Mean (DU),HCHO_Min (DU),HCHO_Max (DU),Min_Lat,Min_Lon,Max_Lat,Max_Lon
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0506_v003-2025m0508t093332.nc,5/6/2025,5/8/2025,molecules/cm²,579900000000000,-9.96E+18,7.35E+18,0.02,-370.3,273.37,8.85,35.56,33.45,94.57
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0505_v003-2025m0507t071821.nc,5/5/2025,5/7/2025,molecules/cm²,330500000000000,-9.96E+18,2.22E+18,0.01,-370.17,82.49,-3.65,118.87,37.75,97.47
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0504_v003-2025m0505t071605.nc,5/4/2025,5/5/2025,molecules/cm²,1.154E+15,-1.00E+19,9.31E+18,0.04,-371.72,346.05,32.45,93.47,3.05,124.37
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0503_v003-2025m0504t061551.nc,5/3/2025,5/4/2025,molecules/cm²,835500000000000,-9.96E+18,8.62E+18,0.03,-370.36,320.58,33.75,81.47,5.65,84.37
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0502_v003-2025m0503t071624.nc,5/2/2025,5/3/2025,molecules/cm²,-49790000000000,-9.89E+18,9.22E+18,0,-367.7,342.61,-24.65,107.47,14.25,92.37
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0501_v003-2025m0502t071419.nc,5/1/2025,5/2/2025,molecules/cm²,957900000000000,-9.54E+18,9.69E+18,0.04,-354.68,360.08,41.85,0.76,-17.45,59.66
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0430_v003-2025m0501t075732.nc,4/30/2025,5/1/2025,molecules/cm²,170300000000000,-9.89E+18,9.92E+18,0.01,-367.74,368.8,-3.95,121.57,-3.75,116.37
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0429_v003-2025m0430t164649.nc,4/29/2025,4/30/2025,molecules/cm²,862900000000000,-9.96E+18,7.40E+18,0.03,-370.36,274.9,25.55,24.46,9.45,123.37
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0428_v003-2025m0429t062555.nc,4/28/2025,4/29/2025,molecules/cm²,898800000000000,-9.92E+18,7.24E+17,0.03,-368.59,26.93,-10.65,19.16,9.35,41.16
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0427_v003-2025m0428t071310.nc,4/27/2025,4/28/2025,molecules/cm²,117000000000000,-9.94E+18,8.29E+18,0,-369.66,308.1,31.45,-102.45,3.65,120.17
